PLAYER,TEAM,YEAR,GP,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV
Antoine Walker,BOS,2002,78,41.5,20.1,7.7,19.9,2.4,7.5,2.3,3.7,1.3,5.9,4.8,1.5,0.4,3.3
Michael Jordan,WAS,2002,82,37.0,20.0,8.3,18.6,0.2,0.7,3.2,4.0,0.9,5.2,3.8,1.5,0.5,2.1
Shareef Abdur-Rahim,ATL,2002,81,38.1,19.9,7.0,14.6,0.3,0.7,5.6,6.7,2.2,6.2,3.0,1.1,0.5,2.6
Sam Cassell,MIL,2002,78,34.6,19.7,7.0,14.9,0.8,2.1,4.9,5.7,0.7,3.7,5.8,1.1,0.2,2.3
Richard Hamilton,DET,2002,82,32.2,19.7,7.0,15.7,0.4,1.5,5.4,6.4,1.1,2.8,2.5,0.8,0.2,2.4
Peja Stojakovic,SAC,2002,72,34.0,19.2,6.9,14.4,2.2,5.6,3.2,3.7,0.8,4.7,2.0,1.0,0.1,1.4
Pau Gasol,MEM,2002,82,36.0,19.0,6.9,13.6,0.0,0.1,5.1,6.9,2.3,6.4,2.8,0.4,1.8,2.6
Jason Kidd,NJN,2002,80,37.4,18.7,6.4,15.6,1.6,4.6,4.2,5.0,1.4,4.9,8.9,2.2,0.3,3.7
Juwan Howard,DEN,2002,77,35.5,18.4,7.4,16.4,0.0,0.1,3.7,4.6,2.4,5.2,3.0,1.0,0.4,2.5
Gilbert Arenas,GSW,2002,82,35.0,18.3,6.2,14.4,1.3,3.8,4.5,5.7,1.2,3.5,6.3,1.5,0.2,3.5
Rashard Lewis,SEA,2002,77,39.5,18.1,6.7,14.9,1.0,2.8,3.7,4.5,2.0,4.6,1.7,1.3,0.5,1.9
Rasheed Wallace,POR,2002,74,36.3,18.1,7.0,14.8,1.5,4.1,2.7,3.7,1.5,5.9,2.1,0.9,1.0,1.9
Steve Nash,DAL,2002,82,33.1,17.7,6.3,13.6,1.4,3.3,3.8,4.1,0.8,2.1,7.3,1.0,0.1,2.3
Matt Harpring,UTA,2002,78,32.8,17.6,6.7,13.1,0.8,2.1,3.4,4.2,2.4,4.2,1.7,0.9,0.2,2.1
Cuttino Mobley,HOU,2002,73,41.7,17.5,6.3,14.6,1.5,4.4,3.3,3.9,1.0,3.2,2.8,1.3,0.5,2.3
Jason Terry,ATL,2002,81,38.0,17.2,6.0,14.1,2.0,5.3,3.2,3.6,0.5,3.0,7.4,1.6,0.2,3.1
Zydrunas Ilgauskas,CLE,2002,81,30.0,17.2,6.1,13.9,0.0,0.1,4.9,6.3,3.0,4.6,1.6,0.7,1.9,2.6
David Wesley,NOH,2002,73,37.1,16.7,6.2,14.2,1.8,4.3,2.5,3.2,0.5,1.9,3.4,1.5,0.1,1.8
Kenyon Martin,NJN,2002,77,34.1,16.7,6.6,14.1,0.1,0.6,3.3,5.1,2.1,6.2,2.4,1.3,0.9,2.5
Latrell Sprewell,NYK,2002,74,38.6,16.4,6.1,15.2,1.8,4.9,2.3,2.9,0.6,3.2,4.5,1.4,0.3,2.3
Chauncey Billups,DET,2002,74,31.4,16.2,4.9,11.8,2.0,5.1,4.3,4.9,0.5,3.2,3.9,0.9,0.2,1.8
Keith Van Horn,PHI,2002,74,31.6,15.9,6.2,12.9,0.9,2.4,2.6,3.2,2.1,4.9,1.3,0.9,0.4,2.0
Jason Richardson,GSW,2002,82,32.9,15.6,5.8,14.2,1.5,4.1,2.5,3.3,1.4,3.3,3.0,1.1,0.3,2.2
Richard Jefferson,NJN,2002,80,36.0,15.5,5.7,11.4,0.1,0.3,4.1,5.5,1.9,4.6,2.5,1.0,0.6,2.0
Tony Parker,SAS,2002,82,33.8,15.5,5.9,12.7,1.0,3.0,2.7,3.5,0.4,2.2,5.3,0.9,0.0,2.4
Caron Butler,MIA,2002,78,36.6,15.4,5.5,13.2,0.4,1.4,4.0,4.8,1.7,3.4,2.7,1.8,0.4,2.5
Bonzi Wells,POR,2002,75,31.9,15.2,5.8,13.2,0.5,1.7,3.0,4.2,1.3,3.9,3.3,1.6,0.2,2.9
Michael Redd,MIL,2002,82,28.2,15.1,5.5,11.8,2.2,5.1,1.8,2.3,1.2,3.3,1.4,1.2,0.2,0.9
Desmond Mason,MIL,2002,80,34.5,14.3,5.7,12.7,0.3,0.9,2.7,3.5,1.9,4.6,2.0,0.8,0.4,1.4
Troy Hudson,MIN,2002,79,32.9,14.2,5.2,12.1,1.2,3.4,2.6,2.9,0.5,1.8,5.7,0.8,0.1,2.3
Morris Peterson,TOR,2002,82,36.0,14.1,5.1,13.1,1.4,4.2,2.4,3.0,1.2,3.2,2.3,1.1,0.4,1.6
Kurt Thomas,NYK,2002,81,31.8,14.0,6.1,12.7,0.0,0.0,1.7,2.3,2.0,5.9,2.0,1.0,1.2,1.7
Derek Anderson,POR,2002,76,33.6,13.9,4.7,10.9,1.5,4.4,3.0,3.5,0.7,2.8,4.3,1.2,0.2,1.7
Andre Miller,LAC,2002,80,36.4,13.6,4.7,11.6,0.3,1.4,3.9,4.9,1.1,2.9,6.7,1.2,0.1,2.6
Amar'e Stoudemire,PHX,2002,82,31.3,13.5,4.8,10.1,0.0,0.1,3.9,5.9,3.0,5.7,1.0,0.8,1.1,2.3
Yao Ming,HOU,2002,82,29.0,13.5,4.9,9.8,0.0,0.0,3.7,4.5,2.4,5.8,1.7,0.4,1.8,2.1
Donyell Marshall,CHI,2002,78,30.5,13.4,5.4,11.8,0.4,1.1,2.1,2.8,3.0,6.0,1.8,1.2,1.1,1.7
Tim Thomas,MIL,2002,80,29.5,13.3,5.2,11.6,1.2,3.3,1.8,2.3,1.2,3.7,1.3,0.9,0.6,1.7
Alvin Williams,TOR,2002,78,33.8,13.2,5.1,11.6,0.6,1.9,2.4,3.1,0.7,2.4,5.3,1.4,0.3,1.6
Brad Miller,IND,2002,73,31.1,13.1,4.5,9.1,0.1,0.2,4.0,4.9,2.5,5.7,2.6,0.9,0.6,1.6
Eric Snow,PHI,2002,82,37.9,12.9,4.4,9.7,0.1,0.4,4.0,4.6,0.9,2.8,6.6,1.6,0.1,2.4
Reggie Miller,IND,2002,70,30.2,12.6,4.0,9.1,1.6,4.5,3.0,3.3,0.3,2.2,2.4,0.9,0.1,0.9
Drew Gooden,ORL,2002,70,26.8,12.5,5.1,11.1,0.2,0.7,2.2,3.0,2.3,4.2,1.2,0.8,0.5,2.1
Nick Van Exel,DAL,2002,73,27.8,12.5,4.7,11.4,1.6,4.3,1.5,2.0,0.5,2.4,4.3,0.6,0.1,1.7
Gordan Giricek,ORL,2002,76,28.3,12.3,4.6,10.6,1.1,3.3,2.0,2.4,0.5,2.7,1.8,0.7,0.1,1.9
Clifford Robinson,DET,2002,81,34.9,12.2,4.6,11.5,1.1,3.2,2.0,2.9,1.0,2.9,3.3,1.1,1.1,2.0
Al Harrington,IND,2002,82,30.1,12.2,4.7,10.9,0.2,0.6,2.6,3.3,1.9,4.3,1.5,0.9,0.4,2.0
Jason Williams,MEM,2002,76,31.7,12.1,4.4,11.3,1.9,5.3,1.4,1.7,0.3,2.5,8.3,1.2,0.1,2.2
Andrei Kirilenko,UTA,2002,80,27.7,12.0,3.9,8.0,0.5,1.4,3.7,4.6,1.8,3.4,1.7,1.5,2.2,1.7
Corliss Williamson,DET,2002,82,25.1,12.0,4.6,10.1,0.0,0.1,2.9,3.7,1.8,2.6,1.3,0.5,0.3,1.5
Stephen Jackson,SAS,2002,80,28.2,11.8,4.5,10.2,1.2,3.7,1.7,2.3,0.8,2.8,2.3,1.6,0.4,2.2
Troy Murphy,GSW,2002,79,31.8,11.7,4.3,9.5,0.0,0.2,3.1,3.7,2.9,7.3,1.3,0.8,0.4,1.4
Lorenzen Wright,MEM,2002,70,28.3,11.4,4.6,10.2,0.0,0.1,2.1,3.2,2.4,5.1,1.1,0.7,0.8,1.6
Rasho Nesterovic,MIN,2002,77,30.4,11.2,5.2,9.9,0.0,0.0,0.8,1.2,1.9,4.6,1.5,0.5,1.5,1.3
John Stockton,UTA,2002,82,27.7,10.8,3.8,7.8,0.4,1.0,2.9,3.5,0.6,1.8,7.7,1.7,0.2,2.2
James Posey,HOU,2002,83,30.3,10.8,3.7,9.1,0.8,2.8,2.5,3.0,1.1,4.0,2.2,1.3,0.2,1.7
Jamal Crawford,CHI,2002,80,24.9,10.7,4.2,10.1,1.1,3.0,1.3,1.6,0.3,2.1,4.2,1.0,0.3,1.7
Pat Garrity,ORL,2002,81,31.9,10.7,3.9,9.2,2.0,5.0,1.0,1.2,0.9,2.9,1.5,0.8,0.2,1.0
P.J. Brown,NOH,2002,78,33.4,10.7,4.1,7.7,0.0,0.0,2.5,3.0,3.1,5.9,1.9,0.9,1.0,1.3
Derek Fisher,LAL,2002,82,34.5,10.5,4.1,9.5,1.0,2.6,1.2,1.5,0.5,2.4,3.6,1.1,0.2,1.1
Nene,DEN,2002,80,28.2,10.5,4.0,7.7,0.0,0.0,2.5,4.3,2.6,3.5,1.9,1.6,0.8,2.3
Eddy Curry,CHI,2002,81,19.4,10.5,4.1,7.1,0.0,0.0,2.2,3.5,1.4,2.9,0.5,0.2,0.8,1.7
Malik Rose,SAS,2002,79,24.5,10.4,3.7,8.0,0.0,0.1,3.1,3.9,1.9,4.5,1.6,0.7,0.5,2.2
Lucious Harris,NJN,2002,77,25.6,10.3,3.9,9.4,0.6,1.8,2.0,2.5,0.8,2.2,2.0,0.7,0.1,0.9
Brent Barry,SEA,2002,75,33.1,10.3,3.5,7.7,1.6,3.9,1.7,2.1,0.6,3.4,5.1,1.5,0.2,1.9
Brian Grant,MIA,2002,82,32.2,10.3,4.2,8.2,0.0,0.0,1.9,2.5,2.9,7.3,1.3,0.8,0.6,1.6
Jamaal Magloire,NOH,2002,82,29.8,10.3,3.7,7.7,0.0,0.0,2.8,3.9,3.2,5.7,1.1,0.6,1.4,1.9
Vladimir Radmanovic,SEA,2002,72,26.5,10.1,3.8,9.3,1.4,4.1,1.0,1.4,1.1,3.4,1.3,0.9,0.3,1.4
Carlos Boozer,CLE,2002,81,25.3,10.0,4.1,7.6,0.0,0.0,1.8,2.4,2.5,5.0,1.3,0.7,0.6,1.3
Vlade Divac,SAC,2002,80,29.8,9.9,3.8,8.2,0.1,0.3,2.2,3.1,2.0,5.2,3.4,1.0,1.3,1.9
Jumaine Jones,CLE,2002,80,27.6,9.8,3.9,8.9,1.4,3.9,0.7,1.0,1.3,3.7,1.4,0.8,0.3,1.3
Joe Johnson,PHX,2002,82,27.5,9.8,3.9,9.7,0.9,2.5,1.2,1.5,0.7,2.5,2.6,0.8,0.2,1.3
Jerome Williams,TOR,2002,71,33.0,9.7,3.8,7.5,0.0,0.1,2.2,4.0,3.3,5.9,1.3,1.6,0.4,1.4
Dion Glover,ATL,2002,76,24.9,9.7,3.6,8.5,0.7,2.1,1.7,2.1,0.8,2.9,1.9,0.9,0.2,1.4
Shane Battier,MEM,2002,78,30.6,9.7,3.5,7.3,1.1,2.8,1.5,1.9,1.6,2.8,1.3,1.3,1.1,0.9
Malik Allen,MIA,2002,80,29.0,9.6,4.2,9.9,0.0,0.1,1.2,1.5,1.7,3.6,0.7,0.5,1.0,1.6
Jay Williams,CHI,2002,75,26.1,9.5,3.6,9.1,0.9,2.7,1.4,2.1,0.4,2.2,4.7,1.1,0.2,2.3
Predrag Drobnjak,SEA,2002,82,24.2,9.4,4.0,9.6,0.4,1.0,1.1,1.4,1.4,2.5,1.0,0.6,0.5,0.8
Darrell Armstrong,ORL,2002,82,28.7,9.4,3.2,7.8,1.0,2.8,2.0,2.3,1.1,2.5,3.9,1.6,0.2,2.0
Doug Christie,SAC,2002,80,33.9,9.4,3.3,7.0,0.9,2.3,1.8,2.2,0.8,3.5,4.7,2.3,0.5,1.8
Tyson Chandler,CHI,2002,75,24.4,9.2,3.4,6.5,0.0,0.0,2.4,3.9,2.3,4.6,1.0,0.5,1.4,1.8
Eric Williams,BOS,2002,82,28.7,9.1,3.1,7.0,0.5,1.3,2.5,3.3,1.7,2.9,1.7,1.0,0.2,1.2
Howard Eisley,NYK,2002,82,27.4,9.1,3.2,7.7,1.6,4.1,1.1,1.3,0.3,2.0,5.4,0.9,0.1,1.8
Rodney White,DEN,2002,72,21.7,9.0,3.6,8.9,0.4,1.9,1.4,1.7,0.6,2.4,1.7,0.6,0.4,2.2
Aaron McKie,PHI,2002,80,29.7,9.0,3.6,8.3,0.5,1.4,1.4,1.7,0.8,3.6,3.5,1.6,0.1,1.4
Rick Fox,LAL,2002,76,28.7,9.0,3.4,8.2,1.4,3.7,0.7,0.9,0.8,3.4,3.3,0.9,0.2,1.6
Theo Ratliff,ATL,2002,81,31.1,8.7,3.4,7.3,0.0,0.0,1.9,2.6,1.9,5.6,0.9,0.7,3.2,1.7
Kendall Gill,MIN,2002,82,25.2,8.7,3.5,8.3,0.2,0.7,1.5,2.0,0.6,2.4,1.9,1.0,0.2,1.3
Calbert Cheaney,UTA,2002,81,29.0,8.6,4.0,8.0,0.1,0.3,0.5,0.9,0.9,2.6,2.0,0.8,0.2,1.3
Tyronn Lue,WAS,2002,75,26.5,8.6,3.3,7.6,0.8,2.3,1.2,1.4,0.3,1.7,3.5,0.6,0.0,1.0
Eddie Griffin,HOU,2002,77,24.5,8.6,3.5,8.8,0.8,2.5,0.8,1.2,1.8,4.2,1.1,0.7,1.4,1.0
Zach Randolph,POR,2002,77,16.9,8.4,3.4,6.7,0.0,0.1,1.6,2.1,1.8,2.6,0.5,0.5,0.2,0.8
Shandon Anderson,NYK,2002,82,21.1,8.4,3.0,6.5,0.6,1.7,1.7,2.3,0.8,2.3,1.1,0.9,0.2,1.4
Travis Best,MIA,2002,72,25.1,8.4,3.2,8.1,0.5,1.5,1.5,1.7,0.4,1.7,3.5,0.6,0.1,1.5
Ruben Patterson,POR,2002,78,21.2,8.3,3.3,6.6,0.0,0.3,1.8,2.8,1.5,1.8,1.3,0.9,0.4,1.5
Christian Laettner,WAS,2002,76,29.1,8.3,3.4,6.8,0.0,0.2,1.6,1.9,1.5,5.1,3.1,1.1,0.5,1.1
Erick Dampier,GSW,2002,82,24.1,8.2,3.2,6.4,0.0,0.0,1.9,2.7,3.0,3.6,0.7,0.3,1.9,1.4
Shammond Williams,DEN,2002,78,24.1,8.0,2.9,7.4,1.2,3.3,1.0,1.3,0.3,1.9,3.4,1.0,0.1,1.5
Donnell Harvey,DEN,2002,77,20.9,7.9,3.2,7.2,0.0,0.1,1.5,2.3,1.6,3.7,1.3,0.6,0.4,1.6
Mike James,MIA,2002,78,22.1,7.8,2.8,7.5,0.9,2.9,1.3,1.8,0.3,1.6,3.2,0.8,0.1,1.4
Jamaal Tinsley,IND,2002,73,30.6,7.8,3.0,7.6,0.6,2.3,1.1,1.5,0.8,2.8,7.5,1.7,0.2,2.6
Othella Harrington,NYK,2002,74,25.0,7.7,3.0,6.0,0.0,0.0,1.7,2.0,2.2,4.2,0.8,0.2,0.3,1.2
Ira Newble,ATL,2002,73,26.5,7.7,3.2,6.4,0.4,1.2,1.0,1.2,1.2,2.5,1.4,0.7,0.4,0.9
Ron Mercer,IND,2002,72,23.2,7.7,3.4,8.3,0.0,0.2,0.9,1.1,0.4,1.7,1.6,0.7,0.2,0.8
Anthony Peeler,MIN,2002,82,27.4,7.7,3.1,7.4,1.1,2.6,0.5,0.6,0.5,2.5,3.0,0.9,0.2,1.0
Rasual Butler,MIA,2002,72,21.0,7.5,2.9,7.9,0.7,2.4,1.1,1.4,0.4,2.2,1.3,0.3,0.6,1.1
Dale Davis,POR,2002,78,29.3,7.4,3.0,5.6,0.0,0.0,1.3,2.1,3.0,4.2,1.2,0.7,0.9,0.9
Kwame Brown,WAS,2002,80,22.2,7.4,2.8,6.3,0.0,0.0,1.8,2.7,1.6,3.7,0.7,0.6,1.0,1.4
Bruce Bowen,SAS,2002,82,31.3,7.1,2.7,5.8,1.2,2.8,0.4,1.1,0.7,2.2,1.4,0.8,0.5,0.9
Jon Barry,DET,2002,80,18.4,6.9,2.4,5.3,1.1,2.7,1.1,1.3,0.4,1.8,2.6,0.8,0.2,1.0
Ben Wallace,DET,2002,73,39.4,6.9,2.9,6.0,0.0,0.1,1.2,2.6,4.0,11.4,1.6,1.4,3.2,1.2
Devean George,LAL,2002,71,22.7,6.9,2.5,6.5,0.7,1.9,1.2,1.5,1.3,2.7,1.3,0.8,0.5,0.9
Mehmet Okur,DET,2002,72,19.0,6.9,2.5,5.9,0.5,1.6,1.3,1.8,1.6,3.0,1.0,0.3,0.5,0.9
Shawn Kemp,ORL,2002,79,20.7,6.8,2.7,6.4,0.0,0.0,1.5,2.0,1.9,3.8,0.7,0.8,0.4,1.3
Shawn Bradley,DAL,2002,81,21.4,6.7,2.5,4.6,0.0,0.0,1.7,2.2,1.9,4.0,0.7,0.8,2.1,0.8
Keon Clark,SAC,2002,80,22.3,6.7,2.8,5.6,0.0,0.1,1.1,1.6,1.7,3.9,1.0,0.5,1.9,1.2
Clar. Weatherspoon,NYK,2002,79,25.6,6.6,2.4,5.2,0.0,0.0,1.9,2.5,2.7,4.9,0.9,0.9,0.5,0.8
Robert Horry,LAL,2002,80,29.3,6.5,2.3,6.0,0.6,2.2,1.3,1.7,2.3,4.2,2.9,1.2,0.8,1.4
Kevin Ollie,SEA,2002,82,23.1,6.5,2.4,5.4,0.0,0.1,1.6,2.2,0.3,1.9,3.5,0.8,0.1,0.9
Erick Strickland,IND,2002,71,18.0,6.5,2.3,5.4,0.9,2.3,1.0,1.2,0.3,1.7,2.9,0.5,0.1,1.4
Mike Batiste,MEM,2002,75,16.6,6.4,2.6,6.2,0.2,1.1,0.9,1.2,1.1,2.3,0.7,0.6,0.2,0.9
Brendan Haywood,WAS,2002,81,23.8,6.2,2.1,4.2,0.0,0.0,1.9,3.0,2.4,2.6,0.4,0.4,1.5,0.8
Aaron Williams,NJN,2002,81,19.7,6.2,2.5,5.4,0.0,0.0,1.3,1.6,1.7,2.4,1.1,0.3,0.7,1.0
Arvydas Sabonis,POR,2002,78,15.5,6.1,2.2,4.6,0.0,0.1,1.7,2.1,1.1,3.2,1.8,0.8,0.6,1.0
Walter McCarty,BOS,2002,82,23.8,6.1,2.1,5.1,1.1,3.0,0.7,1.2,0.8,2.7,1.3,1.0,0.3,0.8
Greg Buckner,PHI,2002,75,20.2,6.0,2.5,5.3,0.2,0.7,0.9,1.1,1.0,1.9,1.3,1.0,0.2,0.8
Brian Skinner,PHI,2002,77,17.9,6.0,2.4,4.3,0.0,0.0,1.3,2.1,1.8,3.0,0.2,0.6,0.7,0.8
Gary Trent,MIN,2002,80,15.3,6.0,2.6,4.9,0.0,0.0,0.8,1.3,1.3,2.3,1.0,0.4,0.3,0.7
Jacque Vaughn,ORL,2002,80,21.1,5.9,2.3,5.1,0.1,0.4,1.2,1.6,0.3,1.2,2.9,0.8,0.0,1.2
Jeff McInnis,POR,2002,75,17.5,5.8,2.5,5.6,0.1,0.5,0.7,0.9,0.3,1.0,2.3,0.3,0.0,1.0
Mike Dunleavy,GSW,2002,82,15.9,5.7,2.0,5.1,0.6,1.8,1.0,1.2,0.8,1.8,1.3,0.6,0.2,1.0
Scott Padgett,UTA,2002,82,16.1,5.7,2.1,5.2,0.5,1.6,1.0,1.3,1.0,2.3,1.0,0.5,0.3,0.9
Jason Collins,NJN,2002,81,23.5,5.7,1.7,4.2,0.0,0.0,2.2,2.9,1.7,2.9,1.1,0.6,0.5,1.0
Vladimir Stepania,MIA,2002,79,20.2,5.6,2.3,5.4,0.0,0.0,0.9,1.7,2.7,4.3,0.3,0.6,0.5,0.9
Earl Watson,MEM,2002,79,17.3,5.5,2.2,4.9,0.4,1.2,0.8,1.1,0.6,1.5,2.8,1.1,0.2,1.1
Marc Jackson,MIN,2002,77,13.5,5.5,2.0,4.5,0.0,0.0,1.5,1.9,1.1,1.8,0.5,0.3,0.4,0.8
Greg Ostertag,UTA,2002,81,23.8,5.4,2.1,4.0,0.0,0.0,1.2,2.4,2.2,4.0,0.7,0.2,1.8,1.3
Adonal Foyle,GSW,2002,82,21.8,5.4,2.3,4.2,0.0,0.0,0.9,1.3,2.1,3.8,0.5,0.5,2.5,0.9
Casey Jacobsen,PHX,2002,72,15.9,5.1,1.7,4.5,0.7,2.3,1.0,1.5,0.4,0.8,1.0,0.5,0.1,0.8
Junior Harrington,DEN,2002,82,24.4,5.1,2.1,5.7,0.1,0.3,0.9,1.4,0.5,2.5,3.4,1.0,0.2,1.9
Milt Palacio,CLE,2002,80,24.7,5.0,2.0,4.9,0.1,0.5,0.8,1.1,0.6,2.3,3.2,0.9,0.2,1.6
Mark Blount,BOS,2002,81,17.3,5.0,1.9,4.3,0.0,0.0,1.2,1.7,1.4,2.4,0.7,0.5,0.8,1.3
Alan Henderson,ATL,2002,82,18.2,4.8,1.9,4.0,0.0,0.0,1.1,1.7,1.9,3.0,0.5,0.4,0.4,0.7
Andrew DeClercq,ORL,2002,77,17.2,4.7,1.9,3.6,0.0,0.0,0.9,1.4,1.8,2.6,0.7,0.5,0.5,1.1
Bo Outlaw,PHX,2002,80,22.5,4.7,1.9,3.5,0.0,0.0,0.9,1.5,1.7,2.9,1.4,0.6,0.9,1.0
Mark Jackson,UTA,2002,82,17.9,4.7,1.8,4.5,0.3,1.2,0.7,1.0,0.4,1.7,4.6,0.6,0.0,1.9
Kelvin Cato,HOU,2002,73,17.1,4.5,1.8,3.5,0.0,0.1,0.9,1.7,1.8,4.1,0.3,0.5,1.2,0.8
Bryon Russell,WAS,2002,70,19.8,4.5,1.5,4.4,0.7,2.0,0.8,1.0,0.6,2.4,1.0,1.0,0.1,0.8
George Lynch,NOH,2002,81,18.5,4.5,1.8,4.4,0.3,1.0,0.5,0.9,1.7,2.6,1.3,0.8,0.2,0.6
Adrian Griffin,DAL,2002,74,18.6,4.4,2.0,4.6,0.1,0.3,0.4,0.4,1.2,2.4,1.4,1.0,0.1,0.6
Michael Doleac,NYK,2002,75,13.9,4.4,1.9,4.6,0.0,0.0,0.5,0.6,0.9,2.1,0.6,0.2,0.2,0.7
Moochie Norris,HOU,2002,82,16.8,4.4,1.6,4.0,0.1,0.5,1.0,1.4,0.5,1.5,2.4,0.7,0.0,1.0
Sean Rooks,LAC,2002,70,19.2,4.2,1.8,4.2,0.0,0.0,0.7,0.8,0.8,2.3,1.0,0.5,0.6,0.9
Kevin Willis,SAS,2002,71,11.8,4.2,1.7,3.6,0.0,0.0,0.7,1.2,1.2,2.0,0.3,0.3,0.3,0.8
Trenton Hassell,CHI,2002,82,24.4,4.2,1.8,4.8,0.2,0.5,0.5,0.7,0.5,2.7,1.8,0.5,0.7,1.0
Steve Kerr,SAS,2002,75,12.7,4.0,1.5,3.4,0.7,1.7,0.4,0.5,0.2,0.6,0.9,0.4,0.0,0.5
Nikoloz Tskitishvili,DEN,2002,81,16.3,3.9,1.4,4.9,0.5,1.9,0.6,0.8,0.8,1.4,1.1,0.4,0.4,1.0
Brian Shaw,LAL,2002,72,12.5,3.5,1.4,3.6,0.5,1.5,0.1,0.2,0.3,1.4,1.4,0.4,0.2,0.8
Raja Bell,DAL,2002,75,15.6,3.1,1.2,2.8,0.3,0.7,0.3,0.5,0.6,1.3,0.8,0.7,0.1,0.6
Stacey Augmon,NOH,2002,70,12.3,3.0,1.1,2.7,0.0,0.1,0.8,1.0,0.4,1.3,1.0,0.4,0.1,0.6
Michael Curry,DET,2002,78,19.9,3.0,1.2,2.9,0.2,0.7,0.5,0.6,0.2,1.4,1.3,0.6,0.1,0.6
Kareem Rush,LAL,2002,76,11.5,3.0,1.3,3.2,0.3,0.9,0.2,0.3,0.3,0.9,0.9,0.1,0.1,0.8
Jeryl Sasser,ORL,2002,75,13.7,2.6,0.9,2.8,0.2,0.6,0.7,1.0,0.9,1.6,0.9,0.6,0.2,0.5
Darvin Ham,ATL,2002,75,12.3,2.4,0.9,2.1,0.0,0.0,0.5,1.1,1.0,1.1,0.5,0.2,0.3,0.9
Jeff Foster,IND,2002,77,10.4,2.1,0.8,2.3,0.0,0.0,0.4,0.8,1.5,2.1,0.7,0.4,0.3,0.4
DeSagana Diop,CLE,2002,80,11.8,1.5,0.7,1.9,0.0,0.0,0.1,0.4,0.8,1.9,0.5,0.4,1.0,0.7
Tracy McGrady,ORL,2003,67,39.9,28.0,9.7,23.4,2.6,7.7,5.9,7.5,1.4,4.6,5.5,1.4,0.6,2.7
Peja Stojakovic,SAC,2003,81,40.3,24.2,8.2,17.1,3.0,6.8,4.9,5.2,1.1,5.1,2.1,1.3,0.2,1.9
Kevin Garnett,MIN,2003,82,39.4,24.2,9.8,19.6,0.1,0.5,4.5,5.7,3.0,10.9,5.0,1.5,2.2,2.6
Kobe Bryant,LAL,2003,65,37.7,24.0,7.9,18.1,1.1,3.3,7.0,8.2,1.6,3.9,5.1,1.7,0.4,2.6
Paul Pierce,BOS,2003,80,38.8,23.0,7.5,18.7,1.4,4.8,6.5,7.9,0.9,5.7,5.1,1.6,0.7,3.8
Baron Davis,NOH,2003,67,40.1,22.9,8.3,20.9,2.8,8.7,3.5,5.3,1.0,3.3,7.5,2.4,0.4,3.2
Vince Carter,TOR,2003,73,38.2,22.5,8.3,20.0,1.3,3.3,4.6,5.7,1.3,3.5,4.8,1.2,0.9,3.1
Tim Duncan,SAS,2003,69,36.6,22.3,8.6,17.1,0.0,0.2,5.1,8.5,3.3,9.2,3.1,0.9,2.7,2.7
Dirk Nowitzki,DAL,2003,77,37.8,21.8,7.9,17.0,1.3,3.8,4.8,5.5,1.2,7.5,2.7,1.2,1.4,1.8
Michael Redd,MIL,2003,82,36.8,21.7,7.7,17.5,1.5,4.4,4.7,5.4,1.4,3.5,2.3,1.0,0.1,1.4
Shaquille O'Neal,LAL,2003,67,36.8,21.5,8.3,14.1,0.0,0.0,4.9,10.1,3.7,7.8,2.9,0.5,2.5,2.9
Carmelo Anthony,DEN,2003,82,36.5,21.0,7.6,17.9,0.8,2.6,5.0,6.4,2.2,3.8,2.8,1.2,0.5,3.0
LeBron James,CLE,2003,79,39.5,20.9,7.9,18.9,0.8,2.7,4.4,5.8,1.3,4.2,5.9,1.6,0.7,3.5
Corey Maggette,LAC,2003,73,36.0,20.7,6.2,13.9,1.0,3.2,7.2,8.5,1.3,4.6,3.1,0.9,0.2,2.8
Stephon Marbury,NYK,2003,81,40.2,20.2,7.4,17.1,1.1,3.4,4.4,5.4,0.7,2.5,8.9,1.6,0.1,3.1
Jermaine O'Neal,IND,2003,78,35.8,20.1,7.8,17.9,0.0,0.2,4.5,5.9,2.5,7.5,2.1,0.8,2.6,2.3
Zach Randolph,POR,2003,81,37.9,20.1,8.2,16.9,0.0,0.1,3.7,4.9,3.0,7.5,2.0,0.8,0.5,3.0
Sam Cassell,MIN,2003,81,35.0,19.8,7.7,15.7,0.9,2.3,3.6,4.1,0.5,2.8,7.3,1.3,0.2,2.7
Shawn Marion,PHX,2003,79,40.7,19.0,7.5,17.0,1.1,3.4,2.9,3.4,2.7,6.6,2.7,2.1,1.3,2.0
Jason Richardson,GSW,2003,78,37.7,18.7,7.2,16.5,1.0,3.5,3.3,4.8,1.6,5.1,2.9,1.1,0.5,2.5
Michael Finley,DAL,2003,72,38.6,18.6,7.1,16.1,2.1,5.1,2.3,2.7,1.1,3.4,2.9,1.2,0.5,1.2
Richard Jefferson,NJN,2003,82,38.2,18.5,6.8,13.6,0.6,1.6,4.4,5.7,1.3,4.3,3.8,1.1,0.3,2.4
Mike Bibby,SAC,2003,82,36.3,18.4,6.4,14.3,1.8,4.6,3.7,4.5,0.8,2.6,5.4,1.4,0.2,2.1
Metta World Peace,IND,2003,73,37.2,18.3,6.4,15.2,1.0,3.3,4.4,6.0,1.4,3.9,3.7,2.1,0.7,2.8
